packet_id,publication_number,title,access_link,analyst_label_H_Mplus_M_L_N,include_yes_no,short_reason,family_relationship_to_another_packet_item
P-001,CN212562854U,Fingerprint gun lock with high safety,https://patents.google.com/patent/CN212562854U/en,,,,
P-002,CA3214647A1,Biometric firearm trigger lock with alarm,https://patents.google.com/patent/CA3214647A1/en,,,,
P-003,CN221269962U,Fingerprint unlocking electric welding machine based on fingerprint module,https://patents.google.com/patent/CN221269962U/en,,,,
P-004,US12292248B1,Biometric firearm chamber lock,https://patents.google.com/patent/US12292248B1/en,,,,
P-005,CN120134973A,Fingerprint lock charging gun,https://patents.google.com/patent/CN120134973A/en,,,,
P-006,IN201821002803A,An intelligent fingerprint & voice operated firearm,https://patents.google.com/patent/IN201821002803A/en,,,,
P-007,CN103967347A,The little lock of Split type fingerprint,https://patents.google.com/patent/CN103967347A/en,,,,
P-008,CN122687837A,Gun trigger locking fingerprint lock and control method,https://patents.google.com/patent/CN122687837A/en,,,,
P-009,CN205140045U,Stack fingerprint lock monitoring device,https://patents.google.com/patent/CN205140045U/en,,,,
P-010,CN117494375A,Operation verification system for combat simulation model,https://patents.google.com/patent/CN117494375A/en,,,,
P-011,CN215064052U,95-1 automatic rifle with fingerprint lock function,https://patents.google.com/patent/CN215064052U/en,,,,
P-012,US20180259280A1,Biometric Firearms Safety System,https://patents.google.com/patent/US20180259280A1/en,,,,
P-013,CN210089498U,Light safe gun box capable of being unlocked through fingerprints,https://patents.google.com/patent/CN210089498U/en,,,,
P-014,CN215793221U,Bluetooth fingerprint lock wire hanging frame,https://patents.google.com/patent/CN215793221U/en,,,,
P-015,US20030023855A1,High security storage unit and biometric entry system,https://patents.google.com/patent/US20030023855A1/en,,,,
P-016,CN105374095A,Gun rack fingerprint lock monitoring device,https://patents.google.com/patent/CN105374095A/en,,,,
P-017,JP2005207607A,Firearm device with authenticating function,https://patents.google.com/patent/JP2005207607A/en,,,,
P-018,US20080024272A1,Biometric authentication lock machine,https://patents.google.com/patent/US20080024272A1/en,,,,
