correction,record_id,title,known_gold,state_changed,before_score,after_score,score_delta,before_rank,after_rank,rank_improvement,before_state,after_state
outcomes,BC001-9B4F91872E65,Automatic trigger guard for firearms,False,True,19.6,30.0,10.399999999999999,215,50,165,"{""rank"": 215, ""score"": 19.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 50, ""score"": 30.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
outcomes,BC001-91D38DDF387D,Firearm with biometric safety mechanism,True,True,18.0,62.0,44.0,221,8,213,"{""rank"": 221, ""score"": 18.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 8, ""score"": 62.0, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""E"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
outcomes,BC001-FBA642DFB3DF,Gun with safety switch,False,True,15.6,26.0,10.4,239,97,142,"{""rank"": 239, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 97, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
outcomes,BC001-C45844564B37,Gun cabinet door and gun cabinet with same,False,True,12.0,15.0,3.0,393,253,140,"{""rank"": 393, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""storage_only""], ""domain"": ""incidental_or_ambiguous""}","{""rank"": 253, ""score"": 15.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""storage_only""], ""domain"": ""incidental_or_ambiguous""}"
outcomes,BC001-7B35C6C39C7E,Fingerprint safety stun gun,False,True,10.0,26.0,16.0,514,82,432,"{""rank"": 514, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 82, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
outcomes,BC001-E04CB84E23D7,Firearm with user information input means,False,True,10.0,26.0,16.0,599,92,507,"{""rank"": 599, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 92, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
outcomes,BC001-F30F8987C7B9,Table corner pistol box,False,True,10.0,22.0,12.0,616,156,460,"{""rank"": 616, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 156, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-3F53B09CDA35,Safety system with biometric locking applied in holders for size and controlled storage of firearms,False,True,64.0,32.0,-32.0,4,37,-33,"{""rank"": 4, ""score"": 64.0, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""E"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 37, ""score"": 32.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-EAD37A2B9B33,Remote managing method and apparatus for firearm,False,True,64.0,32.0,-32.0,6,47,-41,"{""rank"": 6, ""score"": 64.0, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""E"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 47, ""score"": 32.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-E29EB3FB218C,Gun System and Gun Control Management System Prohibit Gun Violence in Reactive and Proactive,False,True,56.6,49.0,-7.600000000000001,11,24,-13,"{""rank"": 11, ""score"": 56.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""E"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""E"", ""F5_to_F6"": ""I""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 24, ""score"": 49.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""E"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""E"", ""F5_to_F6"": ""I""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-A01F02870DCB,Multi-mode recognition intelligent gun cabinet,False,True,52.0,22.0,-30.0,18,116,-98,"{""rank"": 18, ""score"": 52.0, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""E"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 116, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-927E1F23872F,Firearm system and method thereof,False,True,43.6,36.0,-7.600000000000001,27,33,-6,"{""rank"": 27, ""score"": 43.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""C""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 33, ""score"": 36.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""C""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-22C7B3E18472,Weapon trigger interlock and monitoring system,False,True,42.2,45.7,3.5,29,25,4,"{""rank"": 29, ""score"": 42.2, ""features"": {""F2"": ""I"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 25, ""score"": 45.7, ""features"": {""F2"": ""I"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""I"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-7A39832F955A,"Securing mechanisms for preventing access to a firearm by unauthorized users, and safety housings for use therewith",False,True,41.5,22.0,-19.5,30,108,-78,"{""rank"": 30, ""score"": 41.5, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""I"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 108, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-EC06FA2CBD2B,Fingerprint collection device for access control and personal weapons and other systems controlled thereby,False,True,40.2,43.7,3.5,31,26,5,"{""rank"": 31, ""score"": 40.2, ""features"": {""F2"": ""I"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 26, ""score"": 43.7, ""features"": {""F2"": ""I"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""I"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-3FEDD335FFC6,Firearm safety system,False,True,39.6,32.0,-7.600000000000001,33,38,-5,"{""rank"": 33, ""score"": 39.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 38, ""score"": 32.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
