Record ID,title,abstract,domain_category,domain_source,domain_excerpt,F2_status,F2_source,F2_excerpt,F2_reasoning,F3_status,F3_source,F3_excerpt,F3_reasoning,F4_status,F4_source,F4_excerpt,F4_reasoning,F5_status,F5_source,F5_excerpt,F5_reasoning,F6_status,F6_source,F6_excerpt,F6_reasoning,F7_status,F7_source,F7_excerpt,F7_reasoning,F8_status,F8_source,F8_excerpt,F8_reasoning,F2_to_F3_status,F2_to_F3_source,F2_to_F3_excerpt,F2_to_F3_reasoning,F4_to_F3_status,F4_to_F3_source,F4_to_F3_excerpt,F4_to_F3_reasoning,F5_to_F6_status,F5_to_F6_source,F5_to_F6_excerpt,F5_to_F6_reasoning,multi_primary_status,tracking_only,hard_cap,penalty_points,raw_score,final_score,predicted_relevance,explicit_primary_relationships,explicit_primary_features,rank,noise_flags,gate_evidence,penalty_evidence,domain_points,F2_points,F3_points,F4_points,F5_points,F6_points,F7_points,F8_points,F2_to_F3_points,F4_to_F3_points,F5_to_F6_points,multi_primary_points
BC001-7B265B30DE83,Method of monitoring and trigger-locking a firearm,"A method of monitoring and trigger-locking a firearm prevents unauthorized persons from firing the firearm. When a person picks up the firearm, a biometric scanner retrieves an unidentified biometric reading off of the person. The biometric scanner can be a palm-print reader and/or a fingerprint reader. If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger. In addition, the firearm generates and broadcasts an unauthorized-use notification with a wireless communication module. If the unidentified biometric reading does match an authorized user signature stored on the chipset, and if the firearm has locked its trigger, then firearm automatically unlocks its trigger. The firearm also collects situational data from environmental sensors when the firearm discharges a round.",firearm,title,Method of monitoring and trigger-locking a firearm,E,abstract,"If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger.",,E,abstract,"If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger.",,A,,,,E,abstract,The firearm also collects situational data from environmental sensors when the firearm discharges a round.,,E,abstract,"In addition, the firearm generates and broadcasts an unauthorized-use notification with a wireless communication module.",,A,,,,A,,,,E,abstract,"If the unidentified biometric reading does not match an authorized user signature stored on a chipset of the firearm, and if the firearm has unlocked its trigger, then the firearm automatically locks its trigger.",,A,,,,I,abstract,"In addition, the firearm generates and broadcasts an unauthorized-use notification with a wireless communication module.",The system transmits to an external destination and separately collects firearm data; transmission of that data is inferred.,3 established; 3 explicit,False,100,0,69.0,69.0,M+,1,3,1,[],{},{},10.0,12.0,16.0,0.0,10.0,4.0,0.0,0.0,14.0,0.0,1.0,2.0
BC001-915BDE3552D6,Intelligent weapon,"A system for monitoring use of a weapon. The system includes a monitoring station and at least one weapon in which the weapon fires a projectile. The weapon includes a tracking device, in which the tracking device receives navigational data, and a transceiver. The transceiver transmits at least the navigational data to the monitoring station. The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user. In one arrangement, the tracking device can be a global positioning system receiver that can receive navigational data from a plurality of global positioning system satellites.",firearm,title,Intelligent weapon,E,abstract,The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user.,,E,abstract,The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user.,,A,,,,E,abstract,"The weapon includes a tracking device, in which the tracking device receives navigational data, and a transceiver.",,E,abstract,The system includes a monitoring station and at least one weapon in which the weapon fires a projectile.,,A,,,,A,,,,E,abstract,The weapon can further include a biometric identifier for identifying a user and a trigger mechanism in which the biometric identifier can enable the trigger mechanism only when the biometric identifier identifies an authorized user.,,A,,,,I,abstract,The transceiver transmits at least the navigational data to the monitoring station.,The system transmits to an external destination and separately collects firearm data; transmission of that data is inferred.,3 established; 3 explicit,True,100,0,69.0,69.0,M+,1,3,2,[],{},{},10.0,12.0,16.0,0.0,10.0,4.0,0.0,0.0,14.0,0.0,1.0,2.0
BC001-0031124B24F1,Fingerprint operating gun case,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1). is to include one power supply",firearm,title,Fingerprint operating gun case,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,A,,,,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,A,,,,A,,,,A,,,,E,abstract,"This invention relates to the case of a weapon that works by fingerprint, which has a security mechanism that allows only the use of a firearm within an authorized person; a microcontroller that identifies if data retrieved by at least one capacitive fingerprint sensor (2), fingerprint sensor (2) on the weapon case and whether there is any fingerprint data from individuals previously identified by the system, microcontroller(3) validates with personalized fingerprint match, releasing the gun safety latch, and allowing the use of the weapon, electromagnetic lock (4), which extracts data from the satellite for location, timing and positioning, GPS (5), configured to provide mobile connectivity (6) battery module, battery or rechargeable battery for use in feeding mechanical disorders located in the weapons case (1).",,A,,,,A,,,,3 established; 3 explicit,True,100,0,64.0,64.0,M+,1,3,3,[],{},{},10.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-B5BE2EF6266D,Firearm Safety Assembly,A firearm safety assembly for preventing the firearm from being discharged by an unauthorized user includes a processor coupled to a firearm. A fingerprint scanner is coupled to the firearm. The fingerprint scanner may read an authorized user's fingerprint. The fingerprint scanner is operationally coupled to the processor. A thumbprint scanner is coupled to the firearm. The thumbprint scanner may read the authorized user's thumbprint. The thumbprint scanner is operationally coupled to the processor. A trigger lock is coupled to the firearm. The trigger lock is operationally coupled to the processor. The trigger lock allows the firearm to be fired when the processor receives the authorized user's fingerprint and thumbprint. A GPS is coupled to the firearm. The GPS is operationally coupled to the processor. The GPS determining a location of the firearm.,firearm,title,Firearm Safety Assembly,E,abstract,The fingerprint scanner may read an authorized user's fingerprint.,,E,abstract,The trigger lock allows the firearm to be fired when the processor receives the authorized user's fingerprint and thumbprint.,,A,,,,E,abstract,A GPS is coupled to the firearm.,,A,,,,A,,,,A,,,,E,abstract,The trigger lock allows the firearm to be fired when the processor receives the authorized user's fingerprint and thumbprint.,,A,,,,A,,,,3 established; 3 explicit,True,100,0,64.0,64.0,M+,1,3,4,[],{},{},10.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-5E0CE61B9F95,Personalized intelligent identification police-used gun management device and system,"The embodiment of the invention provides a personalized intelligent identification police-used gun management device and system. The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging. According to the personalizedintelligent identification police-used gun management device and system, personalization of a police-used gun can be achieved, the gun is locked as soon as the gun is separated from the hand, an opponent can not use the gun after the gun is snatched, and the gun can be found through a real-time positioning function after being lost.",attached_firing_control,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,A,,,,E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,A,,,,A,,,,A,,,,E,abstract,"The device comprises a single chip microcomputer, a lock body unit, anintelligent identification unit, a positioning unit, a communication unit and a power supply unit, wherein the single chip microcomputer is arranged in a gun and connected with the other five units, the lock body unit comprises a trigger lock and a gun sleeve lock, the intelligent identification unit adopts fingerprint identification, the positioning unit adopts a GPS unit, and the communication unit comprises a Bluetooth unit and a GPRS unit; and the intelligent identification unit collects user fingerprints and compares the user fingerprints with fingerprint data typed in the single chip microcomputer in advance, the single chip microcomputer controls opening and closing of the trigger lock according to a comparison result, the gun geographic position information transmitted by the GPS unit through the GPRS unit can be inquired on a mobile terminal in real time, and the power supply unit supplies power to a gun-end power supply through wireless charging.",,A,,,,A,,,,3 established; 3 explicit,True,100,0,62.0,62.0,M+,1,3,5,[],{},{},8.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-91D38DDF387D,Firearm with biometric safety mechanism,A firearm has a battery-operated biometric scanning device secured along an interior side edge of the firearm grip. The biometric scanning device is configured with a microprocessor which disables the trigger mechanism of the firearm when an invalid fingerprint is scanned. The device has an integrated positioning tracking system.,attached_firing_control,abstract,The biometric scanning device is configured with a microprocessor which disables the trigger mechanism of the firearm when an invalid fingerprint is scanned.,E,abstract,The biometric scanning device is configured with a microprocessor which disables the trigger mechanism of the firearm when an invalid fingerprint is scanned.,,E,abstract,The biometric scanning device is configured with a microprocessor which disables the trigger mechanism of the firearm when an invalid fingerprint is scanned.,,A,,,,E,abstract,The device has an integrated positioning tracking system.,,A,,,,A,,,,A,,,,E,abstract,The biometric scanning device is configured with a microprocessor which disables the trigger mechanism of the firearm when an invalid fingerprint is scanned.,,A,,,,A,,,,3 established; 3 explicit,True,100,0,62.0,62.0,M+,1,3,6,[],{},{},8.0,12.0,16.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
BC001-C3791D5EE3E9,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control","Cartridges for firearms are created with extended flash tubes to ignite the propellant efficiently from base of the projectile to the interior rear of the cartridge case. Some firearms include a specially designed trigger and microphone capable of verifying a user's identity so that only an authorized user can discharge the firearm. Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",firearm,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",A,,,,E,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,A,,,,A,,,,A,,,,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,3 established; 3 explicit,False,100,0,62.0,62.0,M+,1,3,7,[],{},{},10.0,0.0,16.0,14.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
BC001-D3C36118E9E6,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control","Cartridges for firearms are created with extended flash tubes to ignite the propellant efficiently from base of the projectile to the interior rear of the cartridge case. Some firearms include a specially designed trigger and microphone capable of verifying a user's identity so that only an authorized user can discharge the firearm. Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",firearm,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",A,,,,E,title,"Molded plastic cartridge with extended flash tube, sub-sonic cartridges, and user identification for firearms and site sensing fire control",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,A,,,,A,,,,A,,,,E,abstract,"Some firearms include a GPS sensor, World Time RF sensor, and stored updatable list of times, GPS coordinates, distances from the GPS coordinates such that the firearm is disabled for use in these restricted areas.",,A,,,,3 established; 3 explicit,False,100,0,62.0,62.0,M+,1,3,8,[],{},{},10.0,0.0,16.0,14.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
BC001-2ED97E01F6A5,Bullet cabinet intelligent alarm system,"The invention discloses a bullet cabinet intelligent alarm system. The system comprises an electronic gun lock, a fingerprint identification apparatus and a camera, wherein the electronic gun lock, the fingerprint identification apparatus and a cipher lock are electrically connected with a signal server, the signal server is electrically connected with a processor, the processor is electrically connected with an alarm, the processor is in bidirectional electrical connection with a monitoring center, and the camera is respectively connected electrically with the monitoring center and a memory. According to the invention, unlocking signal monitoring is carried out on the electronic gun lock, the fingerprint identification apparatus and the cipher lock through the signal server, once an abnormal unlocking situation is monitored, signals are immediately transmitted to the processor, the processor controls the alarm to give an alarm, at the same time, the processor transmits the signals to the monitoring center, and the monitoring center, after receiving alarm signals, immediately sends out correlation personnel to figure out the situation. Compared to a conventional bullet cabinet alarm system, the bullet cabinet intelligent alarm system responds more timely and rapidly, and can better facilitate management of a bullet cabinet.",firearm,abstract,"The system comprises an electronic gun lock, a fingerprint identification apparatus and a camera, wherein the electronic gun lock, the fingerprint identification apparatus and a cipher lock are electrically connected with a signal server, the signal server is electrically connected with a processor, the processor is electrically connected with an alarm, the processor is in bidirectional electrical connection with a monitoring center, and the camera is respectively connected electrically with the monitoring center and a memory.",E,abstract,"The system comprises an electronic gun lock, a fingerprint identification apparatus and a camera, wherein the electronic gun lock, the fingerprint identification apparatus and a cipher lock are electrically connected with a signal server, the signal server is electrically connected with a processor, the processor is electrically connected with an alarm, the processor is in bidirectional electrical connection with a monitoring center, and the camera is respectively connected electrically with the monitoring center and a memory.",,E,abstract,"According to the invention, unlocking signal monitoring is carried out on the electronic gun lock, the fingerprint identification apparatus and the cipher lock through the signal server, once an abnormal unlocking situation is monitored, signals are immediately transmitted to the processor, the processor controls the alarm to give an alarm, at the same time, the processor transmits the signals to the monitoring center, and the monitoring center, after receiving alarm signals, immediately sends out correlation personnel to figure out the situation.",,A,,,,A,,,,E,abstract,"The system comprises an electronic gun lock, a fingerprint identification apparatus and a camera, wherein the electronic gun lock, the fingerprint identification apparatus and a cipher lock are electrically connected with a signal server, the signal server is electrically connected with a processor, the processor is electrically connected with an alarm, the processor is in bidirectional electrical connection with a monitoring center, and the camera is respectively connected electrically with the monitoring center and a memory.",,A,,,,A,,,,E,abstract,"According to the invention, unlocking signal monitoring is carried out on the electronic gun lock, the fingerprint identification apparatus and the cipher lock through the signal server, once an abnormal unlocking situation is monitored, signals are immediately transmitted to the processor, the processor controls the alarm to give an alarm, at the same time, the processor transmits the signals to the monitoring center, and the monitoring center, after receiving alarm signals, immediately sends out correlation personnel to figure out the situation.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,56.0,56.0,M+,1,2,9,[],{},{},10.0,12.0,16.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0
BC001-F3A3A67D5AA3,Gun safe,"The invention provides a gun safe. The gun safe comprises a processor module, a communication module, an alcohol detecting module, a fingerprint identification module, a display module, a touch control module, a safe door module, a gun lock module and a power module. The processor module is connected with all the other modules and controls all the other modules to work. The communication module is used for conducting data communication with an external server. The alcohol detecting module is used for detecting the alcohol concentrations in the bodies of the personnel getting firearms and ammunition. The fingerprint identification module is used for identifying the identities of the personnel. The display module is used for displaying an operation interface, the work condition of a safe body and an operation result. The touch control module is used for human-machine interaction. The safe door module is used for controlling a safe door of the gun safe to be opened and detecting the state of the safe door. The gun lock module is used for controlling a gun lock to be opened and detecting the open state of the gun lock. The power module is used for supplying power to the whole system. The gun safe is beneficial for the improvement of work efficiency and the reduction of cost and improves the use safety of the firearms and ammunition.",firearm,title,Gun safe,E,abstract,"The gun safe comprises a processor module, a communication module, an alcohol detecting module, a fingerprint identification module, a display module, a touch control module, a safe door module, a gun lock module and a power module.",,E,abstract,"The gun safe comprises a processor module, a communication module, an alcohol detecting module, a fingerprint identification module, a display module, a touch control module, a safe door module, a gun lock module and a power module.",,A,,,,A,,,,E,abstract,The communication module is used for conducting data communication with an external server.,,A,,,,A,,,,E,abstract,"The gun safe comprises a processor module, a communication module, an alcohol detecting module, a fingerprint identification module, a display module, a touch control module, a safe door module, a gun lock module and a power module.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,56.0,56.0,M+,1,2,10,[],{},{},10.0,12.0,16.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0
